label,text,example
numpy.array,Create an array.,"<pre><span></span><span class=""gp"">&gt;&gt;&gt; </span><span class=""n"">np</span><span class=""o"">.</span><span class=""n"">array</span><span class=""p"">([</span><span class=""mi"">1</span><span class=""p"">,</span> <span class=""mi"">2</span><span class=""p"">,</span> <span class=""mi"">3</span><span class=""p"">])</span>
<span class=""go"">array([1, 2, 3])</span>
</pre>"
numpy.asarray,Convert the input to an array.,"<pre><span></span><span class=""gp"">&gt;&gt;&gt; </span><span class=""n"">a</span> <span class=""o"">=</span> <span class=""p"">[</span><span class=""mi"">1</span><span class=""p"">,</span> <span class=""mi"">2</span><span class=""p"">]</span>
<span class=""gp"">&gt;&gt;&gt; </span><span class=""n"">np</span><span class=""o"">.</span><span class=""n"">asarray</span><span class=""p"">(</span><span class=""n"">a</span><span class=""p"">)</span>
<span class=""go"">array([1, 2])</span>
</pre>"
numpy.asanyarray,"Convert the input to an ndarray, but pass ndarray subclasses through.","<pre><span></span><span class=""gp"">&gt;&gt;&gt; </span><span class=""n"">a</span> <span class=""o"">=</span> <span class=""p"">[</span><span class=""mi"">1</span><span class=""p"">,</span> <span class=""mi"">2</span><span class=""p"">]</span>
<span class=""gp"">&gt;&gt;&gt; </span><span class=""n"">np</span><span class=""o"">.</span><span class=""n"">asanyarray</span><span class=""p"">(</span><span class=""n"">a</span><span class=""p"">)</span>
<span class=""go"">array([1, 2])</span>
</pre>"
numpy.ascontiguousarray,Return a contiguous array (ndim >= 1) in memory (C order).,"<pre><span></span><span class=""gp"">&gt;&gt;&gt; </span><span class=""n"">x</span> <span class=""o"">=</span> <span class=""n"">np</span><span class=""o"">.</span><span class=""n"">ones</span><span class=""p"">((</span><span class=""mi"">2</span><span class=""p"">,</span> <span class=""mi"">3</span><span class=""p"">),</span> <span class=""n"">order</span><span class=""o"">=</span><span class=""s1"">'F'</span><span class=""p"">)</span>
<span class=""gp"">&gt;&gt;&gt; </span><span class=""n"">x</span><span class=""o"">.</span><span class=""n"">flags</span><span class=""p"">[</span><span class=""s1"">'F_CONTIGUOUS'</span><span class=""p"">]</span>
<span class=""go"">True</span>
</pre>"
numpy.asmatrix,Interpret the input as a matrix.,"<pre><span></span><span class=""gp"">&gt;&gt;&gt; </span><span class=""n"">x</span> <span class=""o"">=</span> <span class=""n"">np</span><span class=""o"">.</span><span class=""n"">array</span><span class=""p"">([[</span><span class=""mi"">1</span><span class=""p"">,</span> <span class=""mi"">2</span><span class=""p"">],</span> <span class=""p"">[</span><span class=""mi"">3</span><span class=""p"">,</span> <span class=""mi"">4</span><span class=""p"">]])</span>
</pre>"
numpy.copy,Return an array copy of the given object.,"<pre><span></span><span class=""gp"">&gt;&gt;&gt; </span><span class=""n"">np</span><span class=""o"">.</span><span class=""n"">array</span><span class=""p"">(</span><span class=""n"">a</span><span class=""p"">,</span> <span class=""n"">copy</span><span class=""o"">=</span><span class=""kc"">True</span><span class=""p"">)</span>  
</pre>"
numpy.frombuffer,Interpret a buffer as a 1-dimensional array.,"<pre><span></span><span class=""gp"">&gt;&gt;&gt; </span><span class=""n"">dt</span> <span class=""o"">=</span> <span class=""n"">np</span><span class=""o"">.</span><span class=""n"">dtype</span><span class=""p"">(</span><span class=""nb"">int</span><span class=""p"">)</span>
<span class=""gp"">&gt;&gt;&gt; </span><span class=""n"">dt</span> <span class=""o"">=</span> <span class=""n"">dt</span><span class=""o"">.</span><span class=""n"">newbyteorder</span><span class=""p"">(</span><span class=""s1"">'&gt;'</span><span class=""p"">)</span>
<span class=""gp"">&gt;&gt;&gt; </span><span class=""n"">np</span><span class=""o"">.</span><span class=""n"">frombuffer</span><span class=""p"">(</span><span class=""n"">buf</span><span class=""p"">,</span> <span class=""n"">dtype</span><span class=""o"">=</span><span class=""n"">dt</span><span class=""p"">)</span> 
</pre>"
numpy.from_dlpack,"Create a NumPy array from an object implementing the __dlpack__
protocol. Generally, the returned NumPy array is a read-only view
of the input object. See [1] and [2] for more details.","<pre><span></span><span class=""gp"">&gt;&gt;&gt; </span><span class=""kn"">import</span> <span class=""nn"">torch</span>
<span class=""gp"">&gt;&gt;&gt; </span><span class=""n"">x</span> <span class=""o"">=</span> <span class=""n"">torch</span><span class=""o"">.</span><span class=""n"">arange</span><span class=""p"">(</span><span class=""mi"">10</span><span class=""p"">)</span>
<span class=""gp"">&gt;&gt;&gt; </span><span class=""c1""># create a view of the torch tensor ""x"" in NumPy</span>
<span class=""gp"">&gt;&gt;&gt; </span><span class=""n"">y</span> <span class=""o"">=</span> <span class=""n"">np</span><span class=""o"">.</span><span class=""n"">from_dlpack</span><span class=""p"">(</span><span class=""n"">x</span><span class=""p"">)</span>
</pre>"
numpy.fromfile,Construct an array from data in a text or binary file.,"<pre><span></span><span class=""gp"">&gt;&gt;&gt; </span><span class=""n"">dt</span> <span class=""o"">=</span> <span class=""n"">np</span><span class=""o"">.</span><span class=""n"">dtype</span><span class=""p"">([(</span><span class=""s1"">'time'</span><span class=""p"">,</span> <span class=""p"">[(</span><span class=""s1"">'min'</span><span class=""p"">,</span> <span class=""n"">np</span><span class=""o"">.</span><span class=""n"">int64</span><span class=""p"">),</span> <span class=""p"">(</span><span class=""s1"">'sec'</span><span class=""p"">,</span> <span class=""n"">np</span><span class=""o"">.</span><span class=""n"">int64</span><span class=""p"">)]),</span>
<span class=""gp"">... </span>               <span class=""p"">(</span><span class=""s1"">'temp'</span><span class=""p"">,</span> <span class=""nb"">float</span><span class=""p"">)])</span>
<span class=""gp"">&gt;&gt;&gt; </span><span class=""n"">x</span> <span class=""o"">=</span> <span class=""n"">np</span><span class=""o"">.</span><span class=""n"">zeros</span><span class=""p"">((</span><span class=""mi"">1</span><span class=""p"">,),</span> <span class=""n"">dtype</span><span class=""o"">=</span><span class=""n"">dt</span><span class=""p"">)</span>
<span class=""gp"">&gt;&gt;&gt; </span><span class=""n"">x</span><span class=""p"">[</span><span class=""s1"">'time'</span><span class=""p"">][</span><span class=""s1"">'min'</span><span class=""p"">]</span> <span class=""o"">=</span> <span class=""mi"">10</span><span class=""p"">;</span> <span class=""n"">x</span><span class=""p"">[</span><span class=""s1"">'temp'</span><span class=""p"">]</span> <span class=""o"">=</span> <span class=""mf"">98.25</span>
<span class=""gp"">&gt;&gt;&gt; </span><span class=""n"">x</span>
<span class=""go"">array([((10, 0), 98.25)],</span>
<span class=""go"">      dtype=[('time', [('min', '&lt;i8'), ('sec', '&lt;i8')]), ('temp', '&lt;f8')])</span>
</pre>"
numpy.fromfunction,Construct an array by executing a function over each coordinate.,"<pre><span></span><span class=""gp"">&gt;&gt;&gt; </span><span class=""n"">np</span><span class=""o"">.</span><span class=""n"">fromfunction</span><span class=""p"">(</span><span class=""k"">lambda</span> <span class=""n"">i</span><span class=""p"">,</span> <span class=""n"">j</span><span class=""p"">:</span> <span class=""n"">i</span><span class=""p"">,</span> <span class=""p"">(</span><span class=""mi"">2</span><span class=""p"">,</span> <span class=""mi"">2</span><span class=""p"">),</span> <span class=""n"">dtype</span><span class=""o"">=</span><span class=""nb"">float</span><span class=""p"">)</span>
<span class=""go"">array([[0., 0.],</span>
<span class=""go"">       [1., 1.]])</span>
</pre>"
numpy.fromiter,Create a new 1-dimensional array from an iterable object.,"<pre><span></span><span class=""gp"">&gt;&gt;&gt; </span><span class=""n"">iterable</span> <span class=""o"">=</span> <span class=""p"">(</span><span class=""n"">x</span><span class=""o"">*</span><span class=""n"">x</span> <span class=""k"">for</span> <span class=""n"">x</span> <span class=""ow"">in</span> <span class=""nb"">range</span><span class=""p"">(</span><span class=""mi"">5</span><span class=""p"">))</span>
<span class=""gp"">&gt;&gt;&gt; </span><span class=""n"">np</span><span class=""o"">.</span><span class=""n"">fromiter</span><span class=""p"">(</span><span class=""n"">iterable</span><span class=""p"">,</span> <span class=""nb"">float</span><span class=""p"">)</span>
<span class=""go"">array([  0.,   1.,   4.,   9.,  16.])</span>
</pre>"
numpy.fromstring,A new 1-D array initialized from text data in a string.,"<pre><span></span><span class=""gp"">&gt;&gt;&gt; </span><span class=""n"">np</span><span class=""o"">.</span><span class=""n"">fromstring</span><span class=""p"">(</span><span class=""s1"">'1 2'</span><span class=""p"">,</span> <span class=""n"">dtype</span><span class=""o"">=</span><span class=""nb"">int</span><span class=""p"">,</span> <span class=""n"">sep</span><span class=""o"">=</span><span class=""s1"">' '</span><span class=""p"">)</span>
<span class=""go"">array([1, 2])</span>
<span class=""gp"">&gt;&gt;&gt; </span><span class=""n"">np</span><span class=""o"">.</span><span class=""n"">fromstring</span><span class=""p"">(</span><span class=""s1"">'1, 2'</span><span class=""p"">,</span> <span class=""n"">dtype</span><span class=""o"">=</span><span class=""nb"">int</span><span class=""p"">,</span> <span class=""n"">sep</span><span class=""o"">=</span><span class=""s1"">','</span><span class=""p"">)</span>
<span class=""go"">array([1, 2])</span>
</pre>"
numpy.loadtxt,Load data from a text file.,"<pre><span></span><span class=""gp"">&gt;&gt;&gt; </span><span class=""kn"">from</span> <span class=""nn"">io</span> <span class=""kn"">import</span> <span class=""n"">StringIO</span>   <span class=""c1""># StringIO behaves like a file object</span>
<span class=""gp"">&gt;&gt;&gt; </span><span class=""n"">c</span> <span class=""o"">=</span> <span class=""n"">StringIO</span><span class=""p"">(</span><span class=""s2"">""0 1</span><span class=""se"">\n</span><span class=""s2"">2 3""</span><span class=""p"">)</span>
<span class=""gp"">&gt;&gt;&gt; </span><span class=""n"">np</span><span class=""o"">.</span><span class=""n"">loadtxt</span><span class=""p"">(</span><span class=""n"">c</span><span class=""p"">)</span>
<span class=""go"">array([[0., 1.],</span>
<span class=""go"">       [2., 3.]])</span>
</pre>"
numpy.core.records.array,Construct a record array from a wide-variety of objects.,"<pre><span></span><span class=""gp"">&gt;&gt;&gt; </span><span class=""n"">a</span> <span class=""o"">=</span> <span class=""n"">np</span><span class=""o"">.</span><span class=""n"">array</span><span class=""p"">([[</span><span class=""mi"">1</span><span class=""p"">,</span> <span class=""mi"">2</span><span class=""p"">,</span> <span class=""mi"">3</span><span class=""p"">],</span> <span class=""p"">[</span><span class=""mi"">4</span><span class=""p"">,</span> <span class=""mi"">5</span><span class=""p"">,</span> <span class=""mi"">6</span><span class=""p"">],</span> <span class=""p"">[</span><span class=""mi"">7</span><span class=""p"">,</span> <span class=""mi"">8</span><span class=""p"">,</span> <span class=""mi"">9</span><span class=""p"">]])</span>
<span class=""go"">array([[1, 2, 3],</span>
<span class=""go"">       [4, 5, 6],</span>
<span class=""go"">       [7, 8, 9]])</span>
</pre>"
numpy.core.records.fromarrays,Create a record array from a (flat) list of arrays,"<pre><span></span><span class=""gp"">&gt;&gt;&gt; </span><span class=""n"">x1</span><span class=""o"">=</span><span class=""n"">np</span><span class=""o"">.</span><span class=""n"">array</span><span class=""p"">([</span><span class=""mi"">1</span><span class=""p"">,</span><span class=""mi"">2</span><span class=""p"">,</span><span class=""mi"">3</span><span class=""p"">,</span><span class=""mi"">4</span><span class=""p"">])</span>
<span class=""gp"">&gt;&gt;&gt; </span><span class=""n"">x2</span><span class=""o"">=</span><span class=""n"">np</span><span class=""o"">.</span><span class=""n"">array</span><span class=""p"">([</span><span class=""s1"">'a'</span><span class=""p"">,</span><span class=""s1"">'dd'</span><span class=""p"">,</span><span class=""s1"">'xyz'</span><span class=""p"">,</span><span class=""s1"">'12'</span><span class=""p"">])</span>
<span class=""gp"">&gt;&gt;&gt; </span><span class=""n"">x3</span><span class=""o"">=</span><span class=""n"">np</span><span class=""o"">.</span><span class=""n"">array</span><span class=""p"">([</span><span class=""mf"">1.1</span><span class=""p"">,</span><span class=""mi"">2</span><span class=""p"">,</span><span class=""mi"">3</span><span class=""p"">,</span><span class=""mi"">4</span><span class=""p"">])</span>
<span class=""gp"">&gt;&gt;&gt; </span><span class=""n"">r</span> <span class=""o"">=</span> <span class=""n"">np</span><span class=""o"">.</span><span class=""n"">core</span><span class=""o"">.</span><span class=""n"">records</span><span class=""o"">.</span><span class=""n"">fromarrays</span><span class=""p"">([</span><span class=""n"">x1</span><span class=""p"">,</span><span class=""n"">x2</span><span class=""p"">,</span><span class=""n"">x3</span><span class=""p"">],</span><span class=""n"">names</span><span class=""o"">=</span><span class=""s1"">'a,b,c'</span><span class=""p"">)</span>
<span class=""gp"">&gt;&gt;&gt; </span><span class=""nb"">print</span><span class=""p"">(</span><span class=""n"">r</span><span class=""p"">[</span><span class=""mi"">1</span><span class=""p"">])</span>
<span class=""go"">(2, 'dd', 2.0) # may vary</span>
<span class=""gp"">&gt;&gt;&gt; </span><span class=""n"">x1</span><span class=""p"">[</span><span class=""mi"">1</span><span class=""p"">]</span><span class=""o"">=</span><span class=""mi"">34</span>
<span class=""gp"">&gt;&gt;&gt; </span><span class=""n"">r</span><span class=""o"">.</span><span class=""n"">a</span>
<span class=""go"">array([1, 2, 3, 4])</span>
</pre>"
numpy.core.records.fromrecords,Create a recarray from a list of records in text form.,"<pre><span></span><span class=""gp"">&gt;&gt;&gt; </span><span class=""n"">r</span><span class=""o"">=</span><span class=""n"">np</span><span class=""o"">.</span><span class=""n"">core</span><span class=""o"">.</span><span class=""n"">records</span><span class=""o"">.</span><span class=""n"">fromrecords</span><span class=""p"">([(</span><span class=""mi"">456</span><span class=""p"">,</span><span class=""s1"">'dbe'</span><span class=""p"">,</span><span class=""mf"">1.2</span><span class=""p"">),(</span><span class=""mi"">2</span><span class=""p"">,</span><span class=""s1"">'de'</span><span class=""p"">,</span><span class=""mf"">1.3</span><span class=""p"">)],</span>
<span class=""gp"">... </span><span class=""n"">names</span><span class=""o"">=</span><span class=""s1"">'col1,col2,col3'</span><span class=""p"">)</span>
<span class=""gp"">&gt;&gt;&gt; </span><span class=""nb"">print</span><span class=""p"">(</span><span class=""n"">r</span><span class=""p"">[</span><span class=""mi"">0</span><span class=""p"">])</span>
<span class=""go"">(456, 'dbe', 1.2)</span>
<span class=""gp"">&gt;&gt;&gt; </span><span class=""n"">r</span><span class=""o"">.</span><span class=""n"">col1</span>
<span class=""go"">array([456,   2])</span>
<span class=""gp"">&gt;&gt;&gt; </span><span class=""n"">r</span><span class=""o"">.</span><span class=""n"">col2</span>
<span class=""go"">array(['dbe', 'de'], dtype='&lt;U3')</span>
<span class=""gp"">&gt;&gt;&gt; </span><span class=""kn"">import</span> <span class=""nn"">pickle</span>
<span class=""gp"">&gt;&gt;&gt; </span><span class=""n"">pickle</span><span class=""o"">.</span><span class=""n"">loads</span><span class=""p"">(</span><span class=""n"">pickle</span><span class=""o"">.</span><span class=""n"">dumps</span><span class=""p"">(</span><span class=""n"">r</span><span class=""p"">))</span>
<span class=""go"">rec.array([(456, 'dbe', 1.2), (  2, 'de', 1.3)],</span>
<span class=""go"">          dtype=[('col1', '&lt;i8'), ('col2', '&lt;U3'), ('col3', '&lt;f8')])</span>
</pre>"
numpy.core.records.fromstring,Create a record array from binary data,"<pre><span></span><span class=""gp"">&gt;&gt;&gt; </span><span class=""n"">a</span> <span class=""o"">=</span> <span class=""sa"">b</span><span class=""s1"">'</span><span class=""se"">\x01\x02\x03</span><span class=""s1"">abc'</span>
<span class=""gp"">&gt;&gt;&gt; </span><span class=""n"">np</span><span class=""o"">.</span><span class=""n"">core</span><span class=""o"">.</span><span class=""n"">records</span><span class=""o"">.</span><span class=""n"">fromstring</span><span class=""p"">(</span><span class=""n"">a</span><span class=""p"">,</span> <span class=""n"">dtype</span><span class=""o"">=</span><span class=""s1"">'u1,u1,u1,S3'</span><span class=""p"">)</span>
<span class=""go"">rec.array([(1, 2, 3, b'abc')],</span>
<span class=""go"">        dtype=[('f0', 'u1'), ('f1', 'u1'), ('f2', 'u1'), ('f3', 'S3')])</span>
</pre>"
numpy.core.records.fromfile,Create an array from binary file data,"<pre><span></span><span class=""gp"">&gt;&gt;&gt; </span><span class=""kn"">from</span> <span class=""nn"">tempfile</span> <span class=""kn"">import</span> <span class=""n"">TemporaryFile</span>
<span class=""gp"">&gt;&gt;&gt; </span><span class=""n"">a</span> <span class=""o"">=</span> <span class=""n"">np</span><span class=""o"">.</span><span class=""n"">empty</span><span class=""p"">(</span><span class=""mi"">10</span><span class=""p"">,</span><span class=""n"">dtype</span><span class=""o"">=</span><span class=""s1"">'f8,i4,a5'</span><span class=""p"">)</span>
<span class=""gp"">&gt;&gt;&gt; </span><span class=""n"">a</span><span class=""p"">[</span><span class=""mi"">5</span><span class=""p"">]</span> <span class=""o"">=</span> <span class=""p"">(</span><span class=""mf"">0.5</span><span class=""p"">,</span><span class=""mi"">10</span><span class=""p"">,</span><span class=""s1"">'abcde'</span><span class=""p"">)</span>
<span class=""go"">&gt;&gt;&gt;</span>
<span class=""gp"">&gt;&gt;&gt; </span><span class=""n"">fd</span><span class=""o"">=</span><span class=""n"">TemporaryFile</span><span class=""p"">()</span>
<span class=""gp"">&gt;&gt;&gt; </span><span class=""n"">a</span> <span class=""o"">=</span> <span class=""n"">a</span><span class=""o"">.</span><span class=""n"">newbyteorder</span><span class=""p"">(</span><span class=""s1"">'&lt;'</span><span class=""p"">)</span>
<span class=""gp"">&gt;&gt;&gt; </span><span class=""n"">a</span><span class=""o"">.</span><span class=""n"">tofile</span><span class=""p"">(</span><span class=""n"">fd</span><span class=""p"">)</span>
<span class=""go"">&gt;&gt;&gt;</span>
<span class=""gp"">&gt;&gt;&gt; </span><span class=""n"">_</span> <span class=""o"">=</span> <span class=""n"">fd</span><span class=""o"">.</span><span class=""n"">seek</span><span class=""p"">(</span><span class=""mi"">0</span><span class=""p"">)</span>
<span class=""gp"">&gt;&gt;&gt; </span><span class=""n"">r</span><span class=""o"">=</span><span class=""n"">np</span><span class=""o"">.</span><span class=""n"">core</span><span class=""o"">.</span><span class=""n"">records</span><span class=""o"">.</span><span class=""n"">fromfile</span><span class=""p"">(</span><span class=""n"">fd</span><span class=""p"">,</span> <span class=""n"">formats</span><span class=""o"">=</span><span class=""s1"">'f8,i4,a5'</span><span class=""p"">,</span> <span class=""n"">shape</span><span class=""o"">=</span><span class=""mi"">10</span><span class=""p"">,</span>
<span class=""gp"">... </span><span class=""n"">byteorder</span><span class=""o"">=</span><span class=""s1"">'&lt;'</span><span class=""p"">)</span>
<span class=""gp"">&gt;&gt;&gt; </span><span class=""nb"">print</span><span class=""p"">(</span><span class=""n"">r</span><span class=""p"">[</span><span class=""mi"">5</span><span class=""p"">])</span>
<span class=""go"">(0.5, 10, 'abcde')</span>
<span class=""gp"">&gt;&gt;&gt; </span><span class=""n"">r</span><span class=""o"">.</span><span class=""n"">shape</span>
<span class=""go"">(10,)</span>
</pre>"
numpy.core.defchararray.array,Create a chararray.,
numpy.core.defchararray.asarray,"Convert the input to a chararray, copying the data only if
necessary.",
